21,After the rain                                                                                      ,/image/3/After the rain.jpeg                                                                                                                          ,2000,2008,"canvas, oil                                                                                         ",700x700                       ,,3,4
22,Behind the bedroom door                                                                             ,/image/4/Behind the bedroom door.jpeg                                                                                                                 ,1500,2005,"canvas, oil                                                                                         ",550x600                       ,,4,8
23,Cabaret                                                                                             ,/image/5/Cabaret.jpeg                                                                                                                                 ,500,2004,"canvas, oil                                                                                         ",550x600                       ,,5,7
24,Little Gluttony                                                                                     ,/image/6/Little Gluttony.jpeg                                                                                                                         ,2500,2005,"canvas, oil                                                                                         ",550x600                       ,,6,7
25,Madam Lost                                                                                          ,/image/6/Madam Lost.jpeg                                                                                                                              ,500,2004,"canvas, oil                                                                                         ",550x600                       ,,6,7
31,Civitas veritatis                                                                                   ,/image/4/Civitas veritatis.jpeg                                                                                                                       ,800,2017,"canvas, oil                                                                                         ",550x600                       ,,4,8
32,Entrance only                                                                                       ,/image/4/Entrance only.jpeg                                                                                                                           ,700,2017,"canvas, oil                                                                                         ",550x600                       ,,4,8
41,Mother's daughter                                                                                   ,/image/4/Mother's daughter.jpeg                                                                                                                       ,1200,2016,"canvas, oil                                                                                         ",800x700                       ,,4,5
13,Dies in villa                                                                                       ,/image/2/Dies in villa.jpeg                                                                                                                           ,399,2020,"canvas, oil                                                                                         ",500x500                       ,,2,3
20,Vespera silva                                                                                       ,/image/2/Vespera silva.jpeg                                                                                                                           ,599,2020,"canvas, oil                                                                                         ",500x500                       ,,2,3
1,Alexandr                                                                                            ,/image/1/Alexandr.jpeg                                                                                                                                ,500,2015,"canvas, oil                                                                                         ",210x210                       ,Alex in this picture looks like prince... which he actually is. His grandma was in royalty.,1,2
29,Destraction of history                                                                              ,/image/3/Destraction of history.jpeg                                                                                                                  ,300,2008,"canvas, oil                                                                                         ",700x700                       ,,3,4
26,Mister Hook                                                                                         ,/image/6/Mister Hook.jpeg                                                                                                                             ,400,2005,"canvas, oil                                                                                         ",550x600                       ,,6,7
